,value
2021-10-26,2053.5933267309947
2021-10-27,1932.46507329556
2021-10-28,2039.576753166068
2021-10-29,2192.7097325450845
2021-10-30,2285.951019020001
2021-10-31,2218.123569276212
2021-11-01,2234.6086903557443
2021-11-02,2357.004820455988
2021-11-03,2386.8372658795442
2021-11-04,2370.1418548187294
2021-11-05,2441.90537216926
2021-11-06,2541.8107569541844
2021-11-07,2552.4660748440488
2021-11-08,2510.740764858227
2021-11-09,2503.2920945332053
2021-11-10,2397.104821286406
2021-11-11,2479.2841292435623
2021-11-12,2447.963788505508
2021-11-13,2462.5186990045495
2021-11-14,2467.010798040402
2021-11-15,2477.8240372183063
2021-11-16,2314.216636582604
2021-11-17,2434.26439054152
2021-11-18,2272.5720681310263
2021-11-19,2443.413253251846
2021-11-20,2577.3929911696964
2021-11-21,2553.727522431304
2021-11-22,2539.5195236243558
2021-11-23,2640.8803705900837
2021-11-24,2871.475220382204
2021-11-25,3066.0185016775363
2021-11-26,2825.3852666551475
2021-11-27,2816.8546049817423
2021-11-28,2934.581243736018
2021-11-29,2900.7793966395093
2021-11-30,2864.1867854763827
2021-12-01,2904.2500547406494
2021-12-02,2848.5271766652654
2021-12-03,2632.765711172553
2021-12-04,2514.7424515290736
2021-12-05,2320.840043108418
2021-12-06,2370.2947673877397
2021-12-07,2329.9851166509197
2021-12-08,2429.930643104299
2021-12-09,2260.441614255108
2021-12-10,2156.765882965273
2021-12-11,2326.4843791387575
2021-12-12,2369.6345689512386
2021-12-13,2096.350615756689
2021-12-14,2148.08205367185
2021-12-15,2230.4702591706596
2021-12-16,2157.142097492418
2021-12-17,2114.7984877020335
2021-12-18,2173.359587372839
2021-12-19,2136.9376109397726
2021-12-20,2090.869227904769
2021-12-21,2187.4416943868587
2021-12-22,2217.8420502123627
2021-12-23,2415.2776751350098
2021-12-24,2327.7927544801964
2021-12-25,2429.865171648855
2021-12-26,2457.145191267683
2021-12-27,2465.563939345587
2021-12-28,2255.3107787074196
2021-12-29,2163.3746026544973
2021-12-30,2197.9279219519035
